episode,reward,avg50,steps,done_reason,epsilon,loss
418,266.288,470.299,830,collision,0.0531,6.03538
419,-377.276,439.106,1355,stuck,0.0527,10.01247
420,485.319,444.072,2083,collision,0.0523,4.83023
421,425.053,440.672,3165,stuck,0.0520,7.34425
422,61.823,426.736,427,collision,0.0516,5.38073
423,280.972,424.158,325,goal,0.0512,9.29281
424,963.217,416.981,2087,goal,0.0509,7.47319
425,-368.446,400.136,1577,stuck,0.0505,9.40429
426,257.473,396.337,2834,stuck,0.0502,7.54524
427,66.164,390.402,1096,stuck,0.0498,5.13706
428,113.219,370.830,1165,collision,0.0495,4.95744
429,785.756,354.363,4410,stuck,0.0491,6.71139
430,381.762,360.295,596,goal,0.0488,3.75182
431,169.031,356.004,583,collision,0.0484,5.05421
432,334.822,360.521,2130,stuck,0.0481,5.25656
433,223.314,355.939,756,collision,0.0478,5.69333
434,195.572,344.574,1008,collision,0.0474,5.56042
435,1134.967,359.879,3550,collision,0.0471,7.82275
436,-203.230,343.404,1970,stuck,0.0468,5.78164
437,-35.395,331.222,1231,collision,0.0464,5.77244
438,895.680,343.746,2224,goal,0.0461,8.64595
439,622.524,350.234,2496,collision,0.0458,11.40250
440,1047.966,370.696,4507,goal,0.0455,6.70876
441,-526.709,352.040,940,stuck,0.0451,4.70466
442,518.345,357.883,1050,goal,0.0448,4.31575
443,126.622,352.404,712,collision,0.0445,17.62583
444,607.520,349.653,3030,stuck,0.0442,7.33815
445,-10.070,352.428,369,collision,0.0439,7.57157
446,739.063,356.610,2681,collision,0.0436,8.56410
447,619.038,355.747,4944,stuck,0.0433,9.74976
448,283.772,354.740,2298,stuck,0.0430,10.80096
449,6.014,337.732,216,collision,0.0427,4.94414
450,-428.219,309.959,2154,stuck,0.0424,14.24506
451,828.872,317.303,1865,goal,0.0421,11.42873
452,266.507,307.353,286,goal,0.0418,9.95441
453,-62.036,307.226,600,stuck,0.0415,7.49769
454,265.723,308.872,3199,stuck,0.0412,7.41715
455,195.882,304.838,1458,stuck,0.0409,8.06689
456,321.547,311.607,371,goal,0.0406,33.88526
457,104.346,307.834,462,collision,0.0403,9.56850
458,184.512,309.667,795,collision,0.0401,9.61322
459,793.002,324.397,3429,goal,0.0398,7.89372
460,71.137,322.020,1368,stuck,0.0395,9.05181
461,98.205,305.616,536,collision,0.0392,6.37610
462,-85.296,289.562,232,collision,0.0390,6.07623
463,868.910,290.121,3185,stuck,0.0387,9.53782
464,703.519,300.213,3394,stuck,0.0384,7.94362
465,434.963,301.688,1319,collision,0.0381,18.72245
466,1022.312,319.585,3528,goal,0.0379,8.42027
467,1368.663,340.854,4906,stuck,0.0376,9.21100
468,756.899,350.667,1990,goal,0.0373,14.25427
469,291.298,364.038,1874,stuck,0.0371,16.72727
470,-71.216,352.907,705,stuck,0.0368,27.94235
471,119.012,346.787,1543,stuck,0.0366,15.24291
472,-85.280,343.844,1828,stuck,0.0363,10.41745
