episode,reward,avg50,steps,done_reason,epsilon,loss
187,702.150,504.681,1618,goal,0.2688,15.93870
188,-60.334,503.632,206,collision,0.2670,17.74056
189,1010.201,518.742,2358,goal,0.2651,15.57994
190,307.175,523.939,453,goal,0.2632,21.63600
191,835.837,535.313,1724,goal,0.2614,15.89782
192,407.860,527.784,652,goal,0.2596,12.30202
193,264.390,522.570,1207,collision,0.2578,14.67978
194,307.628,523.069,938,collision,0.2559,13.44536
195,-66.183,520.314,600,stuck,0.2542,17.37995
196,-956.493,495.521,1993,stuck,0.2524,19.03675
197,121.372,485.482,1516,collision,0.2506,17.23604
198,1163.043,497.548,3306,goal,0.2489,14.89604
199,772.244,505.341,1683,goal,0.2471,18.93501
200,161.756,517.944,891,collision,0.2454,15.28941
201,1018.893,538.722,2466,goal,0.2437,14.91731
202,351.458,530.024,524,goal,0.2420,15.37206
203,1060.124,541.550,2726,goal,0.2403,16.06602
204,471.045,530.458,1843,collision,0.2386,16.77059
205,861.836,533.357,1971,goal,0.2369,15.06207
206,-39.457,526.763,1272,stuck,0.2353,17.94416
207,18.414,527.484,134,collision,0.2336,22.81765
208,105.234,517.075,593,collision,0.2320,16.91843
209,1006.943,526.115,2279,goal,0.2304,15.25624
210,263.183,512.555,1846,stuck,0.2287,14.64155
211,585.086,504.745,1078,goal,0.2271,13.12780
212,308.546,509.419,1603,stuck,0.2255,16.59965
213,356.496,510.211,472,goal,0.2240,16.69974
214,276.079,513.316,1934,stuck,0.2224,13.83945
215,528.041,505.235,1451,goal,0.2208,15.11534
216,774.034,504.933,1667,goal,0.2193,13.49203
217,769.350,498.967,1566,goal,0.2178,15.98914
218,530.522,510.751,1059,goal,0.2162,10.06912
219,1200.452,523.949,2701,goal,0.2147,13.75682
220,1336.065,529.637,3328,goal,0.2132,15.22049
221,452.634,516.135,1270,collision,0.2117,13.67216
222,863.679,517.056,2082,goal,0.2102,12.86465
223,114.166,507.075,518,collision,0.2088,15.42990
224,1059.484,522.759,2624,goal,0.2073,13.42364
225,1232.885,531.837,3074,goal,0.2059,12.57780
226,415.411,523.228,590,goal,0.2044,10.56406
227,379.598,515.986,603,goal,0.2030,16.19523
228,556.634,521.677,1102,goal,0.2016,10.19392
229,-41.568,525.395,1302,stuck,0.2002,12.65100
230,-393.482,506.835,1707,stuck,0.1988,15.38357
231,363.062,491.486,1328,collision,0.1974,15.20225
232,397.512,478.037,1976,stuck,0.1960,15.05802
233,626.940,474.939,1962,rollover,0.1946,13.89143
234,165.860,478.641,563,collision,0.1933,13.97715
235,530.706,471.823,981,goal,0.1919,8.94948
236,1371.697,496.964,3947,goal,0.1906,12.62770
237,624.833,495.418,1209,goal,0.1892,11.90834
238,479.928,506.223,1138,goal,0.1879,12.66852
239,444.637,494.912,3269,goal,0.1866,13.67953
240,1455.688,517.882,3799,goal,0.1853,11.65512
241,491.214,510.990,2127,collision,0.1840,12.39451
242,567.226,514.177,1966,collision,0.1827,14.13838
243,1422.607,537.341,3815,goal,0.1814,12.16994
244,42.378,532.036,807,collision,0.1801,10.67544
245,1194.698,557.254,3028,goal,0.1789,9.42330
246,-1339.796,549.588,1683,stuck,0.1776,11.83366
247,165.600,550.472,747,collision,0.1764,6.51689
248,275.704,532.726,1201,collision,0.1752,9.61853
249,216.164,521.604,896,collision,0.1739,9.05195
250,132.460,521.018,594,collision,0.1727,8.58042
251,920.345,519.047,3083,collision,0.1715,10.53061
252,741.095,526.840,1719,goal,0.1703,10.29579
253,763.686,520.911,1631,goal,0.1691,10.85513
254,289.504,517.280,1025,collision,0.1679,10.06182
255,575.023,511.544,3187,stuck,0.1667,11.42847
256,380.503,519.943,2461,collision,0.1656,8.28363
257,619.396,531.963,1261,goal,0.1644,8.71438
258,758.417,545.026,1741,goal,0.1633,8.98097
259,930.011,543.488,1980,goal,0.1621,8.81662
260,684.023,551.905,2050,collision,0.1610,10.40560
261,525.484,550.713,1669,collision,0.1599,8.46456
262,112.476,546.791,635,collision,0.1587,6.90672
263,85.349,541.368,5918,stuck,0.1576,8.35786
264,312.274,542.092,1081,collision,0.1565,9.01432
265,256.434,536.660,169,goal,0.1554,15.86408
266,591.657,533.012,2376,collision,0.1543,8.69935
267,840.397,534.433,1809,goal,0.1533,9.70915
268,475.631,533.336,767,goal,0.1522,11.26464
269,1072.254,530.772,4021,collision,0.1511,9.47377
270,744.610,518.943,1538,goal,0.1501,8.66906
271,156.944,513.029,1856,collision,0.1490,9.38565
272,-126.182,493.232,981,collision,0.1480,9.65896
273,533.335,501.615,930,goal,0.1469,9.90170
274,168.919,483.804,797,collision,0.1459,10.02573
275,933.926,477.824,2735,collision,0.1449,7.04086
276,1210.676,493.730,2761,goal,0.1439,7.70235
277,371.712,493.572,569,goal,0.1429,6.99842
278,1496.850,512.376,3528,goal,0.1419,10.27682
279,416.397,521.536,1629,collision,0.1409,8.77892
280,518.916,539.784,1655,collision,0.1399,9.03895
281,433.971,541.202,705,goal,0.1389,7.97813
282,173.257,536.717,663,collision,0.1379,9.41507
283,960.906,543.396,2138,goal,0.1370,9.38344
284,765.049,555.380,1624,goal,0.1360,7.64330
285,906.293,562.891,2034,goal,0.1351,7.59967
286,341.044,542.278,1047,collision,0.1341,9.83254
287,252.533,534.832,950,collision,0.1332,6.84150
288,664.107,538.516,1350,goal,0.1322,9.75532
289,-2.198,529.579,160,collision,0.1313,3.27610
290,778.652,516.039,1587,goal,0.1304,8.99189
291,78.637,507.787,351,collision,0.1295,5.88606
292,306.952,502.582,1839,stuck,0.1286,10.87285
293,1453.369,503.197,3457,goal,0.1277,8.31150
294,327.251,508.894,1009,collision,0.1268,7.22850
295,387.754,492.755,1297,collision,0.1259,8.68924
296,1256.173,544.675,3100,goal,0.1250,6.97023
297,315.227,547.667,335,goal,0.1241,9.81629
298,684.907,555.851,2054,collision,0.1233,6.23286
299,1308.670,577.702,2987,goal,0.1224,7.14014
300,234.698,579.746,766,collision,0.1216,11.02853
301,1511.915,591.578,3653,goal,0.1207,7.17360
302,296.585,582.687,3236,stuck,0.1199,7.96428
303,319.128,573.796,1551,collision,0.1190,10.33452
304,1370.430,595.415,3263,goal,0.1182,7.41814
305,-31.625,583.282,5,collision,0.1174,0.06994
306,612.086,587.914,1126,goal,0.1165,9.03391
307,821.482,591.955,1744,goal,0.1157,9.48202
308,389.364,584.574,1185,collision,0.1149,6.17335
309,1339.115,592.756,3735,collision,0.1141,7.31241
310,63.493,580.346,337,collision,0.1133,5.20844
311,1094.198,591.720,2500,goal,0.1125,7.81289
312,835.603,606.183,1835,goal,0.1117,9.33860
313,996.207,624.400,2214,goal,0.1109,7.39584
314,1315.931,644.473,3059,goal,0.1102,7.98158
315,337.931,646.103,486,goal,0.1094,4.96796
316,1028.489,654.839,3045,goal,0.1086,6.59347
317,388.739,645.806,1213,collision,0.1079,6.53792
318,535.681,647.007,2378,stuck,0.1071,7.97340
319,120.176,627.966,4104,collision,0.1064,9.27767
320,947.948,632.032,2053,goal,0.1056,6.70808
321,39.819,629.690,245,collision,0.1049,8.27653
322,531.776,642.849,4976,stuck,0.1041,6.79305
323,1257.576,657.334,3166,goal,0.1034,6.94971
324,903.235,672.020,2007,goal,0.1027,6.54309
325,1083.581,675.013,2576,goal,0.1020,7.14766
326,1102.604,672.852,2535,goal,0.1013,7.83948
327,1090.291,687.224,2505,goal,0.1006,5.90132
328,1542.033,688.127,3700,goal,0.0999,7.45906
329,522.373,690.247,966,goal,0.0992,4.92982
330,1066.623,701.201,2915,goal,0.0985,8.10175
331,902.743,710.576,1877,goal,0.0978,7.56934
332,637.651,719.864,1189,goal,0.0971,4.93645
333,719.465,715.035,2210,collision,0.0964,7.80064
334,841.519,716.565,1712,goal,0.0957,4.42668
335,470.780,707.854,1427,collision,0.0951,5.04924
336,523.213,711.498,892,goal,0.0944,6.20418
337,385.911,714.165,1227,collision,0.0937,8.00336
338,926.327,719.410,2128,goal,0.0931,7.71622
339,1847.223,756.398,4462,goal,0.0924,7.12625
340,1163.009,764.085,3109,goal,0.0918,7.00578
341,601.398,774.541,1160,goal,0.0911,4.57582
342,43.138,769.264,1074,stuck,0.0905,4.61639
343,-197.037,736.256,2082,stuck,0.0899,7.04378
344,60.519,730.922,462,collision,0.0892,6.18895
345,864.257,740.452,1922,goal,0.0886,6.12529
346,403.313,723.394,589,goal,0.0880,6.67586
347,1666.116,750.412,4485,goal,0.0874,6.14809
348,973.989,756.194,4379,stuck,0.0868,8.04841
349,420.887,738.438,736,goal,0.0862,5.38445
350,-368.771,726.369,1779,stuck,0.0856,8.87744
351,-139.279,693.345,755,collision,0.0850,6.76148
352,425.286,695.919,611,goal,0.0844,6.09549
353,493.820,699.413,1539,goal,0.0838,10.63006
354,1226.045,696.525,3339,goal,0.0832,7.44024
355,-65.614,695.845,511,collision,0.0826,6.67827
356,-65.742,682.289,600,stuck,0.0820,9.89527
357,1417.007,694.199,3387,goal,0.0814,8.14715
358,1168.557,709.783,2703,goal,0.0809,6.54786
359,426.698,691.535,2054,collision,0.0803,6.30218
360,726.120,704.787,1516,goal,0.0797,6.85963
361,438.214,691.668,724,goal,0.0792,5.56054
362,384.002,682.636,506,goal,0.0786,8.08011
363,1153.520,685.782,2680,goal,0.0781,8.76448
364,817.002,675.803,1764,goal,0.0775,7.29437
365,413.683,677.318,1038,goal,0.0770,12.29031
366,163.263,660.014,1849,stuck,0.0765,7.10408
367,705.811,666.355,2676,collision,0.0759,7.98919
368,1075.845,677.159,3177,collision,0.0754,9.88803
369,1427.077,703.297,3762,goal,0.0749,7.49761
370,918.583,702.709,3690,stuck,0.0743,8.66164
371,279.220,707.497,964,collision,0.0738,6.92117
372,918.429,715.230,2271,goal,0.0733,8.09122
373,294.353,695.966,2772,stuck,0.0728,6.05965
374,265.989,683.221,418,goal,0.0723,9.33451
375,1650.604,694.561,4059,goal,0.0718,9.33349
376,442.660,681.363,2447,collision,0.0713,8.49513
377,1025.551,680.068,4140,goal,0.0708,7.91876
378,193.008,653.087,1538,stuck,0.0703,7.61956
379,138.274,645.405,1208,stuck,0.0698,10.25190
380,1381.685,651.706,3843,goal,0.0693,7.95025
381,1529.659,664.245,3633,goal,0.0688,8.83900
382,1363.547,678.763,4943,goal,0.0683,8.36341
383,-6.834,664.237,124,collision,0.0679,6.90254
384,890.860,665.224,1920,goal,0.0674,5.79874
385,1150.681,678.822,5463,stuck,0.0669,7.47415
386,256.610,673.489,886,collision,0.0664,7.50201
387,666.371,679.099,1987,goal,0.0660,6.48880
388,-16.932,660.234,1493,stuck,0.0655,7.67093
389,322.838,629.746,954,rollover,0.0651,4.44900
390,879.956,624.085,2776,collision,0.0646,5.84131
391,920.903,630.475,2907,collision,0.0641,8.45156
392,135.572,632.324,1747,collision,0.0637,9.82328
393,1579.010,667.844,3672,goal,0.0632,6.70182
394,358.183,673.798,520,goal,0.0628,6.45600
395,650.780,669.528,1980,collision,0.0624,6.70670
396,848.641,678.435,1794,goal,0.0619,6.61207
397,964.201,664.396,2017,goal,0.0615,7.83618
398,936.973,663.656,2035,goal,0.0611,8.08701
