step,x,y,goal_x,goal_y
326,-35.739,-19.998,21.200,12.700
327,-35.739,-19.998,21.200,12.700
328,-35.739,-19.998,21.200,12.700
329,-35.739,-19.998,21.200,12.700
330,-35.739,-19.997,21.200,12.700
331,-35.739,-19.997,21.200,12.700
332,-35.739,-19.997,21.200,12.700
333,-35.739,-19.997,21.200,12.700
334,-35.739,-19.997,21.200,12.700
335,-35.739,-19.997,21.200,12.700
336,-35.739,-19.998,21.200,12.700
337,-35.739,-19.998,21.200,12.700
338,-35.739,-19.998,21.200,12.700
339,-35.739,-19.998,21.200,12.700
340,-35.739,-19.998,21.200,12.700
341,-35.738,-19.997,21.200,12.700
342,-35.738,-19.997,21.200,12.700
343,-35.738,-19.997,21.200,12.700
344,-35.738,-19.997,21.200,12.700
345,-35.738,-19.997,21.200,12.700
346,-35.738,-19.997,21.200,12.700
347,-35.738,-19.997,21.200,12.700
348,-35.738,-19.997,21.200,12.700
349,-35.738,-19.997,21.200,12.700
350,-35.738,-19.997,21.200,12.700
351,-35.738,-19.997,21.200,12.700
352,-35.738,-19.997,21.200,12.700
353,-35.738,-19.997,21.200,12.700
354,-35.737,-19.995,21.200,12.700
355,-35.737,-19.995,21.200,12.700
356,-35.737,-19.995,21.200,12.700
357,-35.737,-19.995,21.200,12.700
358,-35.737,-19.995,21.200,12.700
359,-35.737,-19.994,21.200,12.700
360,-35.737,-19.994,21.200,12.700
361,-35.737,-19.994,21.200,12.700
362,-35.737,-19.994,21.200,12.700
363,-35.737,-19.995,21.200,12.700
364,-35.737,-19.995,21.200,12.700
365,-35.737,-19.995,21.200,12.700
366,-35.737,-19.995,21.200,12.700
367,-35.737,-19.995,21.200,12.700
368,-35.737,-19.995,21.200,12.700
369,-35.737,-19.995,21.200,12.700
370,-35.737,-19.995,21.200,12.700
371,-35.738,-19.995,21.200,12.700
372,-35.738,-19.995,21.200,12.700
373,-35.738,-19.995,21.200,12.700
374,-35.738,-19.995,21.200,12.700
375,-35.738,-19.995,21.200,12.700
376,-35.738,-19.995,21.200,12.700
377,-35.738,-19.995,21.200,12.700
378,-35.738,-19.995,21.200,12.700
379,-35.738,-19.995,21.200,12.700
380,-35.738,-19.995,21.200,12.700
381,-35.739,-19.995,21.200,12.700
382,-35.739,-19.995,21.200,12.700
383,-35.738,-19.994,21.200,12.700
384,-35.737,-19.993,21.200,12.700
385,-35.737,-19.993,21.200,12.700
386,-35.737,-19.993,21.200,12.700
387,-35.737,-19.992,21.200,12.700
388,-35.737,-19.992,21.200,12.700
389,-35.737,-19.992,21.200,12.700
390,-35.737,-19.992,21.200,12.700
391,-35.737,-19.992,21.200,12.700
392,-35.737,-19.992,21.200,12.700
393,-35.737,-19.992,21.200,12.700
394,-35.737,-19.993,21.200,12.700
395,-35.737,-19.993,21.200,12.700
396,-35.737,-19.993,21.200,12.700
397,-35.737,-19.993,21.200,12.700
398,-35.737,-19.993,21.200,12.700
399,-35.737,-19.993,21.200,12.700
400,-35.737,-19.992,21.200,12.700
401,-35.736,-19.992,21.200,12.700
402,-35.736,-19.992,21.200,12.700
403,-35.736,-19.992,21.200,12.700
404,-35.737,-19.992,21.200,12.700
405,-35.737,-19.992,21.200,12.700
406,-35.737,-19.992,21.200,12.700
407,-35.737,-19.992,21.200,12.700
408,-35.737,-19.992,21.200,12.700
409,-35.737,-19.992,21.200,12.700
410,-35.737,-19.992,21.200,12.700
411,-35.737,-19.992,21.200,12.700
412,-35.737,-19.992,21.200,12.700
413,-35.738,-19.992,21.200,12.700
414,-35.738,-19.992,21.200,12.700
415,-35.738,-19.992,21.200,12.700
416,-35.737,-19.991,21.200,12.700
417,-35.737,-19.990,21.200,12.700
418,-35.737,-19.990,21.200,12.700
419,-35.737,-19.990,21.200,12.700
420,-35.737,-19.989,21.200,12.700
421,-35.737,-19.989,21.200,12.700
422,-35.737,-19.989,21.200,12.700
423,-35.737,-19.989,21.200,12.700
424,-35.737,-19.989,21.200,12.700
425,-35.737,-19.989,21.200,12.700
426,-35.737,-19.989,21.200,12.700
427,-35.737,-19.989,21.200,12.700
428,-35.737,-19.990,21.200,12.700
429,-35.737,-19.990,21.200,12.700
430,-35.737,-19.990,21.200,12.700
431,-35.737,-19.990,21.200,12.700
432,-35.737,-19.990,21.200,12.700
433,-35.736,-19.989,21.200,12.700
434,-35.736,-19.989,21.200,12.700
435,-35.736,-19.989,21.200,12.700
436,-35.736,-19.989,21.200,12.700
437,-35.736,-19.989,21.200,12.700
438,-35.736,-19.989,21.200,12.700
439,-35.736,-19.989,21.200,12.700
440,-35.736,-19.989,21.200,12.700
441,-35.736,-19.989,21.200,12.700
442,-35.736,-19.989,21.200,12.700
443,-35.736,-19.989,21.200,12.700
